image_id,related_event_id,amount,type,file_path,description,verified
IM067,E072,11000.00,loan_statement,images/loan_e072.pdf,Education loan, true
IM068,E073,1900.00,utility_bill,images/utilities_e073.pdf,Utilities, true
IM069,E074,4500.00,shopping_receipt,images/groceries_e074.pdf,Groceries, true
IM070,E075,16000.00,payslip,images/salary_e075.pdf,Salary, true
IM071,E076,4200.00,rent_receipt,images/rent_e076.pdf,Rent, true
IM072,E077,950.00,utility_bill,images/utilities_e077.pdf,Utilities, true
IM073,E078,1900.00,shopping_receipt,images/groceries_e078.pdf,Groceries, true
IM074,E079,28000000.00,payslip,images/salary_e079.pdf,Income, true
IM075,E080,7000000.00,loan_statement,images/loan_e080.pdf,Investment loan, true
IM076,E081,600000.00,utility_bill,images/utilities_e081.pdf,Utilities, true
IM077,E082,2800000.00,shopping_receipt,images/groceries_e082.pdf,Supplies, true
