request_id,option_id,plan,monthly_amount,total_interest,processing_fee,early_settlement_allowed
RQ049,PO049,2_months,900.00,25.00,10.00,true
RQ050,PO050,6_months,333333.33,150000.00,75000.00,true
RQ051,PO051,4_months,1000.00,60.00,30.00,true
RQ052,PO052,4_months,375.00,35.00,15.00,true
RQ053,PO053,12_months,2500.00,1600.00,80.00,true
RQ054,PO054,6_months,700.00,80.00,35.00,true
RQ055,PO055,12_months,1500000.00,1200000.00,75000.00,true
RQ056,PO056,1_month,900.00,0.00,0.00,true
RQ057,PO057,2_months,275.00,12.00,5.00,true
RQ058,PO058,4_months,3500.00,200.00,80.00,true
RQ059,PO059,2_months,1600.00,40.00,20.00,true
RQ060,PO060,6_months,1500000.00,600000.00,300000.00,true
RQ061,PO061,3_months,533.33,30.00,15.00,true
RQ062,PO062,2_months,350.00,18.00,8.00,true
RQ063,PO063,12_months,1333.33,900.00,45.00,true
RQ064,PO064,3_months,933.33,50.00,20.00,true
RQ065,PO065,6_months,1166666.67,500000.00,250000.00,true
RQ066,PO066,3_months,733.33,40.00,20.00,true
RQ067,PO067,2_months,240.00,12.00,5.00,true
RQ068,PO068,4_months,5500.00,250.00,100.00,true
RQ069,PO069,3_months,1833.33,60.00,25.00,true
RQ070,PO070,6_months,583333.33,250000.00,125000.00,true
RQ071,PO071,2_months,550.00,20.00,10.00,true
RQ072,PO072,2_months,440.00,18.00,8.00,true
RQ073,PO073,12_months,1666.67,1100.00,55.00,true
RQ074,PO074,3_months,1400.00,60.00,25.00,true
RQ075,PO075,12_months,916666.67,700000.00,350000.00,true
RQ076,PO076,1_month,750.00,0.00,0.00,true
RQ077,PO077,2_months,325.00,15.00,5.00,true
RQ078,PO078,3_months,3000.00,120.00,50.00,true
RQ079,PO079,2_months,1050.00,30.00,12.00,true
RQ080,PO080,6_months,750000.00,300000.00,150000.00,true
RQ081,PO081,3_months,1066.67,50.00,25.00,true
RQ082,PO082,3_months,433.33,30.00,15.00,true
RQ083,PO083,12_months,1166.67,1000.00,50.00,true
RQ084,PO084,4_months,950.00,60.00,25.00,true
RQ085,PO085,6_months,1000000.00,400000.00,200000.00,true
RQ086,PO086,3_months,600.00,30.00,15.00,true
RQ087,PO087,1_month,420.00,0.00,0.00,true
RQ088,PO088,12_months,1416.67,1000.00,50.00,true
RQ089,PO089,4_months,1200.00,80.00,35.00,true
RQ090,PO090,6_months,416666.67,180000.00,90000.00,true
RQ091,PO091,2_months,475.00,20.00,8.00,true
RQ092,PO092,2_months,440.00,18.00,8.00,true
RQ093,PO093,12_months,2166.67,1400.00,70.00,true
RQ094,PO094,4_months,1300.00,80.00,35.00,true
RQ095,PO095,12_months,1083333.33,800000.00,400000.00,true
RQ096,PO096,3_months,933.33,50.00,20.00,true
RQ097,PO097,2_months,290.00,12.00,5.00,true
RQ098,PO098,12_months,2666.67,1600.00,80.00,true
RQ099,PO099,6_months,1083.33,120.00,50.00,true
RQ100,PO100,6_months,1333333.33,500000.00,250000.00,true
RQ101,PO101,3_months,466.67,30.00,15.00,true
RQ102,PO102,2_months,375.00,18.00,8.00,true
RQ103,PO103,12_months,1583.33,1100.00,55.00,true
RQ104,PO104,3_months,1033.33,50.00,20.00,true
RQ105,PO105,6_months,1583333.33,600000.00,300000.00,true
RQ106,PO106,3_months,700.00,40.00,20.00,true
RQ107,PO107,2_months,260.00,12.00,5.00,true
RQ108,PO108,12_months,1750.00,1100.00,55.00,true
RQ109,PO109,4_months,1450.00,80.00,35.00,true
RQ110,PO110,6_months,916666.67,350000.00,175000.00,true
RQ111,PO111,2_months,425.00,18.00,8.00,true
RQ112,PO112,3_months,366.67,25.00,10.00,true
RQ113,PO113,12_months,1916.67,1200.00,60.00,true
RQ114,PO114,3_months,1366.67,60.00,25.00,true
RQ115,PO115,6_months,1250000.00,500000.00,250000.00,true
RQ116,PO116,3_months,1033.33,50.00,20.00,true
RQ117,PO117,2_months,355.00,15.00,5.00,true
RQ118,PO118,12_months,2250.00,1300.00,65.00,true
RQ119,PO119,4_months,1550.00,90.00,40.00,true
RQ120,PO120,6_months,533333.33,200000.00,100000.00,true
RQ121,PO121,3_months,633.33,35.00,15.00,true
RQ122,PO122,2_months,410.00,18.00,8.00,true
RQ123,PO123,6_months,2500.00,400.00,30.00,true
RQ124,PO124,3_months,1200.00,60.00,25.00,true
RQ125,PO125,12_months,1333333.33,1000000.00,500000.00,true
RQ126,PO126,3_months,533.33,30.00,15.00,true
RQ127,PO127,2_months,245.00,12.00,5.00,true
RQ128,PO128,12_months,1083.33,800.00,40.00,true
RQ129,PO129,4_months,1100.00,70.00,30.00,true
RQ130,PO130,6_months,466666.67,200000.00,100000.00,true
RQ131,PO131,3_months,433.33,25.00,10.00,true
RQ132,PO132,2_months,395.00,18.00,8.00,true
RQ133,PO133,12_months,2000.00,1200.00,60.00,true
RQ134,PO134,4_months,1275.00,80.00,35.00,true
RQ135,PO135,6_months,1083333.33,450000.00,225000.00,true
RQ136,PO136,3_months,800.00,40.00,20.00,true
RQ137,PO137,2_months,380.00,18.00,8.00,true
RQ138,PO138,12_months,1083.33,800.00,40.00,true
RQ139,PO139,4_months,1950.00,100.00,45.00,true
RQ140,PO140,6_months,633333.33,250000.00,125000.00,true
RQ141,PO141,3_months,566.67,35.00,15.00,true
RQ142,PO142,2_months,395.00,18.00,8.00,true
RQ143,PO143,12_months,1500.00,1000.00,50.00,true
RQ144,PO144,3_months,1566.67,80.00,35.00,true
RQ145,PO145,12_months,875000.00,700000.00,350000.00,true
RQ146,PO146,2_months,475.00,20.00,8.00,true
RQ147,PO147,2_months,255.00,12.00,5.00,true
RQ148,PO148,12_months,2166.67,1300.00,65.00,true
RQ149,PO149,4_months,1300.00,80.00,35.00,true
RQ150,PO150,6_months,1133333.33,400000.00,200000.00,true
RQ151,PO151,3_months,866.67,50.00,20.00,true
RQ152,PO152,2_months,425.00,18.00,8.00,true
RQ153,PO153,12_months,1416.67,1000.00,50.00,true
RQ154,PO154,3_months,1300.00,70.00,30.00,true
RQ155,PO155,12_months,733333.33,600000.00,300000.00,true
RQ156,PO156,2_months,550.00,20.00,10.00,true
RQ157,PO157,2_months,340.00,15.00,5.00,true
RQ158,PO158,12_months,2416.67,1400.00,70.00,true
RQ159,PO159,4_months,1725.00,100.00,45.00,true
RQ160,PO160,6_months,633333.33,220000.00,110000.00,true
RQ161,PO161,2_months,400.00,15.00,5.00,true
RQ162,PO162,2_months,460.00,20.00,8.00,true
RQ163,PO163,12_months,1750.00,1100.00,55.00,true
RQ164,PO164,3_months,1433.33,80.00,35.00,true
RQ165,PO165,12_months,650000.00,600000.00,300000.00,true
RQ166,PO166,3_months,466.67,30.00,15.00,true
RQ167,PO167,2_months,270.00,12.00,5.00,true
RQ168,PO168,12_months,1250.00,800.00,40.00,true
RQ169,PO169,4_months,1800.00,100.00,45.00,true
RQ170,PO170,6_months,966666.67,350000.00,175000.00,true
RQ171,PO171,3_months,416.67,25.00,10.00,true
RQ172,PO172,2_months,385.00,18.00,8.00,true
RQ173,PO173,12_months,1666.67,1100.00,55.00,true
RQ174,PO174,4_months,1400.00,80.00,35.00,true
RQ175,PO175,12_months,1166666.67,800000.00,400000.00,true
RQ176,PO176,3_months,516.67,30.00,15.00,true
RQ177,PO177,2_months,355.00,15.00,5.00,true
RQ178,PO178,12_months,1583.33,1000.00,50.00,true
RQ179,PO179,4_months,1525.00,90.00,40.00,true
RQ180,PO180,6_months,533333.33,200000.00,100000.00,true
RQ181,PO181,3_months,516.67,30.00,15.00,true
RQ182,PO182,2_months,430.00,20.00,8.00,true
RQ183,PO183,6_months,3666.67,500.00,40.00,true
RQ184,PO184,3_months,1600.00,80.00,35.00,true
RQ185,PO185,12_months,766666.67,600000.00,300000.00,true
RQ186,PO186,3_months,716.67,40.00,20.00,true
RQ187,PO187,2_months,315.00,15.00,5.00,true
RQ188,PO188,12_months,1916.67,1200.00,60.00,true
RQ189,PO189,4_months,1675.00,90.00,40.00,true
RQ190,PO190,6_months,1133333.33,450000.00,225000.00,true
RQ191,PO191,3_months,750.00,40.00,20.00,true
RQ192,PO192,2_months,445.00,20.00,8.00,true
RQ193,PO193,6_months,2333.33,300.00,20.00,true
RQ194,PO194,4_months,1300.00,80.00,35.00,true
RQ195,PO195,6_months,1250000.00,400000.00,200000.00,true
RQ196,PO196,3_months,716.67,40.00,20.00,true
RQ197,PO197,2_months,445.00,20.00,8.00,true
RQ198,PO198,12_months,1916.67,1200.00,60.00,true
RQ199,PO199,4_months,1625.00,100.00,45.00,true
RQ200,PO200,6_months,866666.67,300000.00,150000.00,true
RQ201,PO201,3_months,616.67,35.00,15.00,true
RQ202,PO202,2_months,475.00,20.00,8.00,true
RQ203,PO203,6_months,2666.67,400.00,30.00,true
RQ204,PO204,4_months,1475.00,90.00,40.00,true
RQ205,PO205,6_months,1400000.00,450000.00,225000.00,true
RQ206,PO206,3_months,550.00,30.00,15.00,true
RQ207,PO207,2_months,380.00,18.00,8.00,true
RQ208,PO208,12_months,1500.00,900.00,45.00,true
RQ209,PO209,4_months,1550.00,90.00,40.00,true
RQ210,PO210,6_months,700000.00,250000.00,125000.00,true
RQ211,PO211,3_months,816.67,50.00,20.00,true
RQ212,PO212,2_months,410.00,18.00,8.00,true
RQ213,PO213,12_months,2083.33,1300.00,65.00,true
RQ214,PO214,4_months,1275.00,80.00,35.00,true
RQ215,PO215,6_months,1200000.00,400000.00,200000.00,true
RQ216,PO216,2_months,675.00,25.00,10.00,true
RQ217,PO217,2_months,345.00,15.00,5.00,true
RQ218,PO218,12_months,1666.67,1000.00,50.00,true
RQ219,PO219,4_months,1775.00,100.00,45.00,true
RQ220,PO220,6_months,966666.67,300000.00,150000.00,true
RQ221,PO221,3_months,916.67,50.00,20.00,true
RQ222,PO222,2_months,455.00,20.00,8.00,true
RQ223,PO223,6_months,2833.33,400.00,30.00,true
RQ224,PO224,4_months,1425.00,80.00,35.00,true
RQ225,PO225,6_months,1583333.33,500000.00,250000.00,true
RQ226,PO226,3_months,683.33,40.00,20.00,true
RQ227,PO227,2_months,420.00,18.00,8.00,true
RQ228,PO228,12_months,1166.67,800.00,40.00,true
RQ229,PO229,4_months,1725.00,100.00,45.00,true
RQ230,PO230,6_months,633333.33,220000.00,110000.00,true
RQ231,PO231,3_months,416.67,25.00,10.00,true
RQ232,PO232,2_months,385.00,18.00,8.00,true
RQ233,PO233,3_months,7000.00,150.00,50.00,true
RQ234,PO234,4_months,1350.00,80.00,35.00,true
RQ235,PO235,6_months,1300000.00,400000.00,200000.00,true
RQ236,PO236,2_months,625.00,20.00,8.00,true
RQ237,PO237,2_months,310.00,15.00,5.00,true
RQ238,PO238,12_months,2000.00,1200.00,60.00,true
RQ239,PO239,4_months,1550.00,90.00,40.00,true
RQ240,PO240,6_months,750000.00,250000.00,125000.00,true
RQ241,PO241,3_months,783.33,50.00,20.00,true
RQ242,PO242,2_months,440.00,18.00,8.00,true
RQ243,PO243,3_months,6333.33,100.00,40.00,true
RQ244,PO244,4_months,1525.00,90.00,40.00,true
RQ245,PO245,6_months,1366666.67,450000.00,225000.00,true
RQ246,PO246,3_months,583.33,35.00,15.00,true
RQ247,PO247,2_months,365.00,18.00,8.00,true
RQ248,PO248,12_months,1250.00,800.00,40.00,true
RQ249,PO249,4_months,1450.00,80.00,35.00,true
RQ250,PO250,6_months,1133333.33,400000.00,200000.00,true
